Title,Authors
Glorious Exploits,Ferdia Lennon
A Land with a People: Palestinians and Jews Confront Zionism,"Rosalind Pollack Petchesky, Esther Farmer, Sarah Sills"
The Storm We Made,Vanessa Chan
Open Throat,Henry Hoke
The Haunting of Tram Car 015,P. Djèlí Clark
Devil in Winter,Lisa Kleypas
Heart of the Fae,Emma Hamm
Something in the Woodshed,M.A. Knights
The Salt Grows Heavy,Cassandra Khaw
Married to a Pirate,Athena Rose
Sleepless Volume 1,Sarah Vaughn
The Centre,Ayesha Manazir Siddiqi
Nevada,Imogen Binnie
Foundation,Isaac Asimov
The Pomegranate Gate,Ariel Kaplan
Love and Other Conspiracies,Mallory Marlowe
Twilight of Democracy: The Seductive Lure of Authoritarianism,Anne Applebaum
Sistersong,Lucy Holland
Mother Country,Etaf Rum
Anchored: How to Befriend Your Nervous System Using Polyvagal Theory,Deb Dana
The Green Man of Eshwood Hall,Jacob Kerr
Waking Up with the Duke,Lorraine Heath
Elantris,Brandon Sanderson
The Great Beanie Baby Bubble: Mass Delusion and the Dark Side of Cute,Zac Bissonnette
Ashes of the Sun,Django Wexler
Temporary,Hilary Leichter
The Duke Who Knew Too Much,Grace Callaway
Man Made Language,Dale Spender
The Mimicking of Known Successes,Malka Older
Fortune's Pawn,Rachel Bach
Carmilla,J. Sheridan Le Fanu
Hollow Kingdom,Kira Jane Buxton
Eragon,Christopher Paolini
Darius the Great Is Not Okay,Adib Khorram
The Moonfire Bride,Sylvia Mercedes
King Arthur and His Knights of the Round Table,Roger Lancelyn Green
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David Brooks
And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman
Who Cooked the Last Supper?: The Women's History of the World,Rosalind Miles
Swift and Saddled,Lyla Sage
The Princess Bride,William Goldman
Behold Her,Emily Antoinette
The Wedding People,Alison Espach
I'm in Love with Mothman,Paige Lavoie
Caressed by Ice,Nalini Singh
Convergence of Desire,Felicity Niven
Who Fears Death,Nnedi Okorafor
Reign & Ruin,J.D. Evans
The Berry Pickers,Amanda Peters
The City in the Middle of the Night,Charlie Jane Anders
City of Saints and Madmen,Jeff VanderMeer
Early Riser,Jasper Fforde
Bad Cree,Jessica Johns
Arch-Conspirator,Veronica Roth
The Radium Girls: The Dark Story of America's Shining Women,Kate Moore
Seduced by the Pumpkin King,Melanie Nyx
The Tainted Cup,Robert Jackson Bennett
The History of Mr. Polly,H.G. Wells
Interview with the Vampire,Anne Rice
Tailor Troubles,Monroe A. Wildrose
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder
The Christmas Guest,Peter Swanson
Summer Frost,Blake Crouch
My Best Friend's Exorcism,Grady Hendrix
Against Technoableism: Rethinking Who Needs Improvement,Ashley Shew
My Sweet Folly,Laura Kinsale
Notes on Grief,Chimamanda Ngozi Adichie
The Ministry of Time,Kaliane Bradley
The Hall of the Mountain King,Judith Tarr
Curated,Nellie Wilson
"Bite Me, Your Grace",Brooklyn Ann
Waking the Tiger: Healing Trauma: The Innate Capacity to Transform Overwhelming Experiences,Peter A. Levine
Cranford,Elizabeth Gaskell
The Name of the Wind,Patrick Rothfuss
The Great Cosmic Mother: Rediscovering the Religion of the Earth,"Barbara Mor, Monica Sjoo"
The Hacienda,Isabel Cañas
The Rape of Nanking,Iris Chang
A Witch's Guide to Magical Innkeeping,Sangu Mandanna
Odd Blood,Azalea Crowley
Fearing the Black Body: The Racial Origins of Fat Phobia,Sabrina Strings
This Book Is Gay (Revised and Updated),Juno Dawson
Our Share of Night: A Novel,"Mariana Enríquez, Megan McDowell"
The Secret Lives of Color,Kassia St. Clair
Taaqtumi: An Anthology of Arctic Horror Stories,"Thomas Anguti Johnston, Cara Bryant, Gayle Kabloona, Ann R. Loverock, K.C. Carthew, Repo Kempt, Jay Bulckaert, Rachel Qitsualik-Tinsley, Aviaq Johnston, Richard Van Camp, Sean Qitsualik-Tinsley"
Check & Mate,Ali Hazelwood
Ghost Work: How to Stop Silicon Valley from Building a New Global Underclass,"Mary L. Gray, Siddharth Suri"
The Best American Science Fiction and Fantasy 2023,"R.F. Kuang, John Joseph Adams"
The Goblin Emperor,Katherine Addison
The Alpha of Bleake Isle,Kathryn Moon
The Bible Says So: What We Get Right (and Wrong) About Scripture's Most Controversial Issues,Dan McClellan
Snowed Inn (With a Demon),L.E. Eldridge
The Mere Wife,Maria Dahvana Headley
The End of Policing,Alex S. Vitale
Star Splitter,Matthew J. Kirby
Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto
The Day the World Stops Shopping: How Ending Consumerism Saves the Environment and Ourselves,J.B. MacKinnon
Hall of Smoke,H.M. Long
Paradise-1,David Wellington
Bound by Treason,Eliza Tilton
A Natural History of Dragons,Marie Brennan
Calamity,Constance Fay
Engineering Fate,Alexis B. Osborne
Most Ardently,Gabe Cole Novoa
The Deep,Rivers Solomon
For Never & Always,Helena Greer
The Water Outlaws,S.L. Huang
Aicha Kandicha,Soraya Bouazzaoui
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman
Bull Moon Rising,Ruby Dixon
The Highwayman,Kerrigan Byrne
All's Well,Mona Awad
Empire of the Vampire,Jay Kristoff
On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,Elise Loehnen
Hogfather,Terry Pratchett
The Fall of Roe: The Rise of a New America,"Elizabeth Dias, Lisa Lerer"
The Seven Year Slip,Ashley Poston
Looking for Smoke,K.A. Cobell
Hell Followed with Us,Andrew Joseph White
A Demon's Guide to Wooing a Witch,Sarah Hawley
The Subversive Stitch: Embroidery and the Making of the Feminine,Rozsika Parker
Theirs to Protect,Stasia Black
Exhalation,Ted Chiang
Annihilation,Jeff VanderMeer
The Death I Gave Him,Em X. Liu
"Sunflowers, Scarecrows and Scandal",Erica Wynters
A Forbidden Fate,Kaven Hirning
Monstrilio,Gerardo Sámano Córdova
The Last Wish: Introducing the Witcher,Andrzej Sapkowski
The Gospel of Mary of Magdala,Karen L. King
Pride and Prejudice in Space,Alexis Lampley
"Sword Stone Table: Old Legends, New Voices","Swapna Krishna, Jenn Northington"
Harry Potter and the Sorcerer's Stone,J.K. Rowling
Harry Potter and the Chamber of Secrets,J.K. Rowling
Lady Susan,Jane Austen
